time,parent,analyte,matrix,species,conc
0,atrazine,atrazine,amphib,LF,2.579782807
0,atrazine,atrazine,amphib,LF,1.691182353
0,atrazine,atrazine,amphib,LF,12.52319717
0,atrazine,atrazine,amphib,LF,2.970273811
0,atrazine,atrazine,amphib,LF,8.050942336
0,atrazine,atrazine,amphib,LF,7.478230678
2,atrazine,atrazine,amphib,LF,2.186808836
2,atrazine,atrazine,amphib,LF,5.338854395
2,atrazine,atrazine,amphib,LF,1.693429589
2,atrazine,atrazine,amphib,LF,8.968187875
2,atrazine,atrazine,amphib,LF,1.454206808
2,atrazine,atrazine,amphib,LF,1.718054357
4,atrazine,atrazine,amphib,LF,1.715569485
4,atrazine,atrazine,amphib,LF,6.984378843
4,atrazine,atrazine,amphib,LF,6.344470461
4,atrazine,atrazine,amphib,LF,5.22674822
4,atrazine,atrazine,amphib,LF,6.179038725
4,atrazine,atrazine,amphib,LF,6.938256641
6,atrazine,atrazine,amphib,LF,10.56528408
6,atrazine,atrazine,amphib,LF,3.335388968
6,atrazine,atrazine,amphib,LF,2.457491841
6,atrazine,atrazine,amphib,LF,3.983431248
6,atrazine,atrazine,amphib,LF,2.391884077
6,atrazine,atrazine,amphib,LF,11.18965486
8,atrazine,atrazine,amphib,LF,2.162953353
8,atrazine,atrazine,amphib,LF,1.650446686
8,atrazine,atrazine,amphib,LF,6.76940713
8,atrazine,atrazine,amphib,LF,6.916300496
8,atrazine,atrazine,amphib,LF,5.647878305
8,atrazine,atrazine,amphib,LF,5.714846427
10,atrazine,atrazine,amphib,LF,3.480676652
10,atrazine,atrazine,amphib,LF,1.886771004
10,atrazine,atrazine,amphib,LF,10.2979071
10,atrazine,atrazine,amphib,LF,8.724901716
10,atrazine,atrazine,amphib,LF,1.892744068
10,atrazine,atrazine,amphib,LF,3.632494432
0,atrazine,dia,amphib,LF,0.883956554
0,atrazine,dia,amphib,LF,0.205952276
0,atrazine,dia,amphib,LF,2.264216568
0,atrazine,dia,amphib,LF,1.482399083
0,atrazine,dia,amphib,LF,3.373042598
0,atrazine,dia,amphib,LF,2.225213926
2,atrazine,dia,amphib,LF,0.471455178
2,atrazine,dia,amphib,LF,1.949823738
2,atrazine,dia,amphib,LF,0.292870608
2,atrazine,dia,amphib,LF,3.731628198
2,atrazine,dia,amphib,LF,0.14346792
2,atrazine,dia,amphib,LF,0.26117143
4,atrazine,dia,amphib,LF,0.6469172
4,atrazine,dia,amphib,LF,1.788309618
4,atrazine,dia,amphib,LF,2.700054508
4,atrazine,dia,amphib,LF,2.092548368
4,atrazine,dia,amphib,LF,2.353271366
4,atrazine,dia,amphib,LF,1.975622073
6,atrazine,dia,amphib,LF,3.855276739
6,atrazine,dia,amphib,LF,1.141669373
6,atrazine,dia,amphib,LF,0.927557192
6,atrazine,dia,amphib,LF,1.405738977
6,atrazine,dia,amphib,LF,1.161620282
6,atrazine,dia,amphib,LF,1.95303981
8,atrazine,dia,amphib,LF,0.545024076
8,atrazine,dia,amphib,LF,0.408263481
8,atrazine,dia,amphib,LF,3.362166411
8,atrazine,dia,amphib,LF,1.016458624
8,atrazine,dia,amphib,LF,0.36577586
8,atrazine,dia,amphib,LF,1.810445265
10,atrazine,dia,amphib,LF,2.258392125
10,atrazine,dia,amphib,LF,0.736112269
10,atrazine,dia,amphib,LF,2.600443851
10,atrazine,dia,amphib,LF,2.130334501
10,atrazine,dia,amphib,LF,0.439163266
10,atrazine,dia,amphib,LF,0.570875335
0,atrazine,dea,amphib,LF,0.685584346
0,atrazine,dea,amphib,LF,0.118879766
0,atrazine,dea,amphib,LF,1.338857338
0,atrazine,dea,amphib,LF,1.093625539
0,atrazine,dea,amphib,LF,2.380726136
0,atrazine,dea,amphib,LF,1.682752858
2,atrazine,dea,amphib,LF,0.287109189
2,atrazine,dea,amphib,LF,1.196575679
2,atrazine,dea,amphib,LF,0.189837807
2,atrazine,dea,amphib,LF,2.474574759
2,atrazine,dea,amphib,LF,0.111010166
2,atrazine,dea,amphib,LF,0.20206445
4,atrazine,dea,amphib,LF,0.558891269
4,atrazine,dea,amphib,LF,1.389183511
4,atrazine,dea,amphib,LF,2.339546273
4,atrazine,dea,amphib,LF,1.869070547
4,atrazine,dea,amphib,LF,1.557399508
4,atrazine,dea,amphib,LF,1.558110176
6,atrazine,dea,amphib,LF,3.079389639
6,atrazine,dea,amphib,LF,0.933856532
6,atrazine,dea,amphib,LF,0.778610102
6,atrazine,dea,amphib,LF,0.853475907
6,atrazine,dea,amphib,LF,0.689705614
6,atrazine,dea,amphib,LF,1.229569015
8,atrazine,dea,amphib,LF,0.309594142
8,atrazine,dea,amphib,LF,0.319681564
8,atrazine,dea,amphib,LF,2.116817307
8,atrazine,dea,amphib,LF,0.762246202
8,atrazine,dea,amphib,LF,0.260688476
8,atrazine,dea,amphib,LF,1.001451498
10,atrazine,dea,amphib,LF,1.49583694
10,atrazine,dea,amphib,LF,0.490295537
10,atrazine,dea,amphib,LF,2.291578308
10,atrazine,dea,amphib,LF,1.908682536
10,atrazine,dea,amphib,LF,0.445776132
10,atrazine,dea,amphib,LF,0.614928403
0,atrazine,atrazine,soil,LF,10.28385855
0,atrazine,atrazine,soil,LF,10.04358875
0,atrazine,atrazine,soil,LF,10.18871524
0,atrazine,atrazine,soil,LF,9.401012307
0,atrazine,atrazine,soil,LF,9.516150521
0,atrazine,atrazine,soil,LF,9.708402094
2,atrazine,atrazine,soil,LF,9.403882995
2,atrazine,atrazine,soil,LF,12.1209408
2,atrazine,atrazine,soil,LF,9.820321561
2,atrazine,atrazine,soil,LF,13.65865567
2,atrazine,atrazine,soil,LF,13.82500689
2,atrazine,atrazine,soil,LF,6.981617026
4,atrazine,atrazine,soil,LF,8.71398867
4,atrazine,atrazine,soil,LF,10.31826446
4,atrazine,atrazine,soil,LF,9.424200962
4,atrazine,atrazine,soil,LF,8.210686345
4,atrazine,atrazine,soil,LF,12.47499464
4,atrazine,atrazine,soil,LF,17.10511501
6,atrazine,atrazine,soil,LF,15.28179321
6,atrazine,atrazine,soil,LF,15.71271657
6,atrazine,atrazine,soil,LF,9.706286223
6,atrazine,atrazine,soil,LF,16.37966534
6,atrazine,atrazine,soil,LF,10.61265033
6,atrazine,atrazine,soil,LF,12.59011285
8,atrazine,atrazine,soil,LF,12.46770392
8,atrazine,atrazine,soil,LF,10.90836606
8,atrazine,atrazine,soil,LF,13.47173605
8,atrazine,atrazine,soil,LF,10.84867262
8,atrazine,atrazine,soil,LF,9.786848989
8,atrazine,atrazine,soil,LF,12.68276321
10,atrazine,atrazine,soil,LF,7.717010983
10,atrazine,atrazine,soil,LF,9.412734091
10,atrazine,atrazine,soil,LF,12.23989264
10,atrazine,atrazine,soil,LF,11.84987009
10,atrazine,atrazine,soil,LF,8.395562665
10,atrazine,atrazine,soil,LF,7.01665685
0,atrazine,dia,soil,LF,0.03213396
0,atrazine,dia,soil,LF,0.039735645
0,atrazine,dia,soil,LF,0.035786804
0,atrazine,dia,soil,LF,0.046370059
0,atrazine,dia,soil,LF,0.071267615
0,atrazine,dia,soil,LF,0.034245841
2,atrazine,dia,soil,LF,0.037616706
2,atrazine,dia,soil,LF,0.04219977
2,atrazine,dia,soil,LF,0.033938574
2,atrazine,dia,soil,LF,0.056362539
2,atrazine,dia,soil,LF,0.052058052
2,atrazine,dia,soil,LF,0.037204939
4,atrazine,dia,soil,LF,0.030773042
4,atrazine,dia,soil,LF,0.041361374
4,atrazine,dia,soil,LF,0.070353747
4,atrazine,dia,soil,LF,0.032742838
4,atrazine,dia,soil,LF,0.042338733
4,atrazine,dia,soil,LF,0.037171878
6,atrazine,dia,soil,LF,0.047740625
6,atrazine,dia,soil,LF,0.034533625
6,atrazine,dia,soil,LF,0.036314789
6,atrazine,dia,soil,LF,0.04246275
6,atrazine,dia,soil,LF,0.041618552
6,atrazine,dia,soil,LF,0.045366964
8,atrazine,dia,soil,LF,0.029057887
8,atrazine,dia,soil,LF,0.033800078
8,atrazine,dia,soil,LF,0.034630556
8,atrazine,dia,soil,LF,0.034346932
8,atrazine,dia,soil,LF,0.03219457
8,atrazine,dia,soil,LF,0.027305273
10,atrazine,dia,soil,LF,0.052085964
10,atrazine,dia,soil,LF,0.031311716
10,atrazine,dia,soil,LF,0.028745734
10,atrazine,dia,soil,LF,0.047452892
10,atrazine,dia,soil,LF,0.03427203
10,atrazine,dia,soil,LF,0.02862084
0,atrazine,dea,soil,LF,0.021695507
0,atrazine,dea,soil,LF,0.020985714
0,atrazine,dea,soil,LF,0.0169438
0,atrazine,dea,soil,LF,0.036549509
0,atrazine,dea,soil,LF,0.059143339
0,atrazine,dea,soil,LF,0.01905291
2,atrazine,dea,soil,LF,0.016220581
2,atrazine,dea,soil,LF,0.036402229
